"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"131153","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","403","Flushing - Clearview","2005-2007","2005-01-01T00:00:00.000","11.1",
"154479","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","314","Flatbush and Midwood (CD14)","2005","2005-01-01T00:00:00.000","2.8",
"154460","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","207","Kingsbridge Heights and Bedford (CD7)","2005","2005-01-01T00:00:00.000","3.6",
"154497","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","414","Rockaway and Broad Channel (CD14)","2005","2005-01-01T00:00:00.000","0.5",
"151753","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","407","Southwest Queens","2005","2005-01-01T00:00:00.000","3.4",
"130688","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","104","Pelham - Throgs Neck","2005","2005-01-01T00:00:00.000","2.7",
"130728","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","Borough","1","Bronx","2005","2005-01-01T00:00:00.000","2.8",
"131038","653","Asthma emergency departments visits due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","205","Sunset Park","2005-2007","2005-01-01T00:00:00.000","37.7",
"130720","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","408","Jamaica","2005","2005-01-01T00:00:00.000","1.8",
"131319","661","Asthma hospitalizations due to Ozone","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","105","Crotona -Tremont","2005-2007","2005-01-01T00:00:00.000","18.9",
"154549","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","407","Flushing and Whitestone (CD7)","2005","2005-01-01T00:00:00.000","35.8",
"151722","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","104","Pelham - Throgs Neck","2005","2005-01-01T00:00:00.000","3.4",
"151729","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","204","East New York","2005","2005-01-01T00:00:00.000","6.4",
"151718","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","Borough","5","Staten Island","2005","2005-01-01T00:00:00.000","19.6",
"151681","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","204","East New York","2005","2005-01-01T00:00:00.000","48.8",
"151702","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","404","Bayside - Little Neck","2005","2005-01-01T00:00:00.000","57.1",
"151688","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","211","Williamsburg - Bushwick","2005","2005-01-01T00:00:00.000","42.3",
"151674","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","104","Pelham - Throgs Neck","2005","2005-01-01T00:00:00.000","37.5",
"154556","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","414","Rockaway and Broad Channel (CD14)","2005","2005-01-01T00:00:00.000","13.3",
"151766","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","Borough","5","Staten Island","2005","2005-01-01T00:00:00.000","1.0",
"151760","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","504","South Beach - Tottenville","2005","2005-01-01T00:00:00.000","0.7",
"151692","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","304","Upper West Side","2005","2005-01-01T00:00:00.000","97.0",
"130800","648","Asthma emergency department visits due to PM2.5","Estimated annual rate (under age 18)","per 100,000 children","UHF42","207","East Flatbush - Flatbush","2005-2007","2005-01-01T00:00:00.000","111.9",
